,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
AlphaFold2-rsa,DP02732,0.5,0.377,0.431,0.548,0.752,0.0,1.0,1.0,0.0,0.0,-0.623,0.0,0.377,0.0,1.0,0.022
AlphaFold2-rsa,DP03745,0.5,0.289,0.337,0.448,0.67,0.0,1.0,1.0,0.0,0.0,-0.711,0.0,0.289,0.0,1.0,0.022
AlphaFold2-rsa,DP03748,0.5,0.067,0.082,0.126,0.264,0.0,1.0,1.0,0.0,0.0,-0.933,0.0,0.067,0.0,1.0,0.022
AlphaFold2-rsa,DP03749,0.5,0.043,0.053,0.082,0.183,0.0,1.0,1.0,0.0,0.0,-0.957,0.0,0.043,0.0,1.0,0.022
AlphaFold2-rsa,DP03758,0.5,0.579,0.632,0.733,0.873,0.0,1.0,1.0,0.0,0.0,-0.421,0.0,0.579,0.0,1.0,0.022
AlphaFold2-rsa,DP03759,0.5,0.242,0.285,0.39,0.615,0.0,1.0,1.0,0.0,0.0,-0.758,0.0,0.242,0.0,1.0,0.022
AlphaFold2-rsa,DP03802,0.5,0.371,0.424,0.541,0.747,0.0,1.0,1.0,0.0,0.0,-0.629,0.0,0.371,0.0,1.0,0.022
AlphaFold2-rsa,DP03803,0.5,0.061,0.075,0.115,0.245,0.0,1.0,1.0,0.0,0.0,-0.939,0.0,0.061,0.0,1.0,0.022
AlphaFold2-rsa,DP03804,0.5,0.793,0.827,0.885,0.95,0.0,1.0,1.0,0.0,0.0,-0.207,0.0,0.793,0.0,1.0,0.022
AlphaFold2-rsa,DP03806,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.022
AlphaFold2-rsa,DP03810,0.5,0.023,0.029,0.045,0.105,0.0,1.0,1.0,0.0,0.0,-0.977,0.0,0.023,0.0,1.0,0.022
AlphaFold2-rsa,DP03812,0.5,0.041,0.051,0.079,0.176,0.0,1.0,1.0,0.0,0.0,-0.959,0.0,0.041,0.0,1.0,0.022
AlphaFold2-rsa,DP03813,0.5,0.03,0.037,0.058,0.134,0.0,1.0,1.0,0.0,0.0,-0.97,0.0,0.03,0.0,1.0,0.022
